bidder_id,bid_count,auction_count,merc_count,device_count,country_count,ip_count,url_count,average_distinct_country_per_auction,average_distinct_urls_per_auction,average_distinct_ip_per_auction,average_distinct_dev_per_auction,average_distinct_merc_per_auction,average_bids_per_auction,median_response_time,median_response_time_across_auction,num_auction,num_auction_won,percentage_win,avg_bids_auction,competitors,median_time_to_respond_competition,median_time_to_respond_self,outcome
1395ca662a02245233af951cc7ad8313vk6w0,73,44,1,43,20,59,2,1.023,1.023,1.523,1.432,1.0,1.659,345684210526,170421052632,44,0,0.0,2.0755146138974183E-4,205.1590909090909,526315790,-1,0.0
34914d163517a0cc4f0c971afb2352106vsvz,27,9,1,8,7,24,3,1.778,1.222,3.0,1.556,1.0,3.0,45631578948,1305789473684,9,0,0.0,3.8853449107018226E-5,463.6666666666667,210526316,421052631,0.0
437c191e614776c1535305f602ea9033sdfmf,3,2,1,2,2,3,2,1.0,1.0,1.5,1.0,1.0,1.5,5455947368421,4648894736842,2,0,0.0,7.703171138785467E-5,380.0,1894736842,-1,0.0
46f1d7df0a8ffcc10c3de0dad8979cabgr9ig,2,2,1,2,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,0,4194052631579,2,0,0.0,1.0147133434804668E-4,92.0,2684210527,-1,0.0
7bb58b7875a093cbe7c5d487a825b730mjcw8,183,16,1,2,2,2,2,1.0,1.25,1.0,1.063,1.0,11.438,578947369,1000000000,16,4,0.25,0.01507910349373764,81.0,0,526315789,1.0
b1863365ae232a316eb946ba56a29415m0gdz,5329,114,1,240,29,2982,845,1.482,8.377,34.588,9.325,1.0,46.746,2578947368,51736842106,114,19,0.16666666666666666,0.01659204553238391,67.39473684210526,210526316,2473684210,1.0
ce22684df495e376e32ac95d3ceb1164t37l2,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,1.1349449551696743E-4,203.0,315789474,-1,0.0
001068c415025a009fee375a12cff4fcnht8y,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,4.923682914820286E-4,153.0,3842105263,-1,0.0
0c57d8eaa2708b768416ca91dd8daa2cqbl31,25,15,1,8,5,11,1,1.0,1.0,1.533,1.4,1.0,1.667,1606421052632,757631578947,15,0,0.0,6.861157614512721E-4,135.46666666666667,4210526315,-1,0.0
30788b28de22d28938ecd7ed6795a8b022qm7,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,2.4826216484607745E-4,228.0,1578947369,-1,0.0
424aed9d807cfe0b2167cfdaa4957fc0heell,10,5,1,3,1,8,3,1.0,1.2,1.8,1.2,1.0,2.0,47368421053,197315789474,5,0,0.0,3.470655606844133E-4,320.0,368421052,-1,0.0
4679df74080bc22e29676bddc5bcbf51gsyds,18,10,1,3,2,16,2,1.1,1.1,1.8,1.1,1.0,1.8,4866421052632,1342684210527,10,0,0.0,2.558497195602796E-5,460.7,421052631,-1,0.0
6a31ec9cbfe23a9398e80403859f0402cg4ql,5,4,1,5,3,5,2,1.0,1.25,1.25,1.25,1.0,1.25,7287631578948,5783052631579,4,0,0.0,2.8110733802595182E-5,450.75,157894737,-1,0.0
8bf07d8631a2808f2c869e27afad2d41swgkd,3113,168,1,171,45,514,844,2.042,11.44,9.69,5.81,1.0,18.53,4526315789,1789473684,168,2,0.011904761904761904,0.006960468652177801,79.20833333333333,421052632,4157894737,1.0
a22fdc066a738070c6e4860924d06657hengu,3133,132,1,296,19,986,66,1.114,4.318,11.985,7.553,1.0,23.735,12000000000,49157894737,132,7,0.05303030303030303,0.00671774122651846,97.93939393939394,105263158,10736842105,0.0
c89d56c06803b8c6316a7c906604c64939yri,26,23,1,15,8,19,10,1.043,1.087,1.13,1.087,1.0,1.13,192368421053,109842105263,23,0,0.0,1.2060320155114272E-4,273.5652173913044,842105263,-1,0.0
eef111bfb93c213c174947c69b2f2b38cr2pw,169,45,1,58,9,91,36,1.111,1.467,2.244,1.8,1.0,3.756,93947368421,210526315789,45,1,0.022222222222222223,2.6433550901790756E-4,144.33333333333334,105263157,53736842105,0.0
f0fd9f1b3fc9ff10c2642b3bf81946e2rsq48,58,15,1,23,4,40,18,1.133,2.267,3.4,2.667,1.0,3.867,384473684211,723631578947,15,0,0.0,2.5744024501209525E-4,221.4,368421052,156736842106,0.0
f29896e71c8077db28617a03c0f14e7570emg,11,5,1,7,5,10,6,1.4,1.8,2.2,1.8,1.0,2.2,1765526315789,17210526316,5,0,0.0,1.764786099902937E-5,411.4,52631579,492631578947,0.0
50dd191676497345cc95d8b9f7284a7371z5s,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,3.5855145213338117E-4,199.0,5684210526,-1,0.0
76d4a0147a60d871867f00adf45cb792w9c6n,2655,302,1,404,77,1648,141,1.669,3.189,7.235,4.927,1.0,8.791,112526315789,45526315790,302,1,0.0033112582781456954,0.001404487695259497,135.78476821192052,736842105,89157894737,0.0
78e59e188d9780cb8988d574f692ed343s129,92,24,1,17,2,69,4,1.0,1.083,3.542,2.417,1.0,3.833,546578947368,426368421053,24,0,0.0,1.655778125731152E-4,111.16666666666667,5631578948,160526315789,0.0
7eb6a5ffc5e8471efad7cdc8927daf677qcf8,373,74,1,78,4,275,179,1.014,3.757,4.676,3.432,1.0,5.041,244263157895,191473684210,74,1,0.013513513513513514,9.036750258625493E-4,105.25675675675676,3210526316,117263157894,0.0
7f807b2eb6c391d55e67bcdf7e1cbb3fhylw0,1515,334,1,305,72,1091,98,1.281,2.59,3.994,3.551,1.0,4.536,452736842105,40947368421,334,0,0.0,0.0011191218402352003,172.4011976047904,1000000000,192578947368,0.0
a7c910e7c7796d979aa9a7a31d74a8eaqsapx,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,1.8609948506272482E-6,1112.0,0,-1,0.0
c435ac9dcda855341e667d440c2ef7c6nd3mg,225,111,1,81,29,160,73,1.117,1.748,1.748,1.649,1.0,2.027,564842105263,67526315790,111,2,0.018018018018018018,7.132622395800311E-4,127.29729729729729,1842105263,315789474,0.0
c8d3fc73c1a41bf92a5e4982eb6cf78du8gg5,12,10,1,10,3,12,7,1.0,1.2,1.2,1.2,1.0,1.2,47894736842,1578947368421,10,0,0.0,4.1412154467336163E-4,224.0,1526315789,-1,0.0
cf33d05860b7f7d9af73c6091190b81ektz1j,5571,174,1,518,121,2876,497,1.707,4.483,17.201,4.989,1.0,32.017,2947368421,58789473684,174,1,0.005747126436781609,0.005371885685192649,99.13793103448276,52631579,2736842105,0.0
dadbcec8b02ac75c5935f419b318ceca1wwjw,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,1.8609948506272482E-6,1112.0,0,-1,0.0
f63ed13362ce1c80970ba28a095c2bc5kfgmr,68,47,1,42,8,51,33,1.021,1.383,1.426,1.383,1.0,1.447,1723368421053,291473684210,47,1,0.02127659574468085,0.001123855485406406,107.12765957446808,12421052632,-1,0.0
fbacab353140582a4b8ae3412eefecbc753vs,188,64,1,63,6,141,67,1.0,1.922,2.5,2.141,1.0,2.938,315210526316,92052631579,64,0,0.0,5.445660706371713E-4,238.734375,263157895,46789473685,0.0
222a0e05442fec0af2d20ebdcafe4b28c2pi4,4,4,1,3,3,3,2,1.0,1.0,1.0,1.0,1.0,1.0,0,948842105263,4,0,0.0,4.799040191961608E-4,75.75,1578947368,-1,0.0
29cc13d48af9832e0eb481c8a095fec7mom74,4,4,1,2,1,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0,180736842106,4,0,0.0,1.6685437784173864E-4,331.5,1736842106,-1,0.0
2fc0efdb6ff10d51e3a4d979ee52cf07p4068,571,117,1,157,40,430,50,1.205,1.59,3.974,2.316,1.0,4.88,44210526316,120789473684,117,0,0.0,5.771851156998395E-4,144.5042735042735,52631579,30842105263,0.0
37ca0d0ded383d709676a4f9729ef39cpjfh4,14,13,1,12,6,14,7,1.0,1.077,1.077,1.077,1.0,1.077,4430894736842,279473684210,13,0,0.0,2.1333983511878456E-4,181.0,2526315790,-1,0.0
